reportID,report
1369, 
1387, 
1401," This occurred in the province of Alberta in Canada. Haig Lake approximatley 150-175 miles north of Peace River, AB. Latitude - Longitude : 56° 54' 00"" N - 116° 06' 00"" W"
1525, 
1634, 
1690, 
1727, 8 miles east of Stone Lagoon as the crow flies.  Extremely limited access as you must also cross Simpson and Nat For gates. Turn off 101 onto Old State HWY 101 and then thru Simpson lands. Off the M-  line. Can get GPS location if desired
2048, 
2147," Klamath National Forest, California (west of the Klamath River). We had followed the river north til we found a feeder stream and headed west. Lat/Long ?, before a hand-held GPS was affordable on the civilian market."
2268," From Western Washington, take state hwy. 410 over the pass, past Ghost Lake and past Crystal Mountain. Exit at the Cedar Springs Campground Exit. Follow the Bumping River back until you reach Bumping Lake. The latitude is 46.873 deg-N and 121.300 deg-W. Elevation is 3426 ft."
2961, 
3022," This is located in Timber canyon.  GPS coordinateds are N40  1.680  W110  55.891.  It is about 14.6 miles from Highway 6 (Spanish Fork Canyon, Soldiers Summit) and 20.2 miles from Highway 40"
3024,"Since my wife and kids were away visiting my parents in Ohio, two co-workers (A.S. and D.G.) and myself decided to try our hand at bigfoot ""hunting"" after hearing about the BFRO expedition to Skookum on the Medved radio show and then reading about it on the website.  We decided to camp out two nights (starting Friday) at the Tillicum campsite which was about 4 miles from Skookum, hike into Skookum Saturday, and then leave Sunday morning.All three of us were sharing a four man tent and after going to bed Friday night, I was awoken by A.S. who mentioned that there were strange sounds outside. At that point all three of us were lying there awake. The first sound that I heard sounded just like coyotes but then I heard a weird gutteral growl like sound (which in all truth kind of gave me the shivers). That was the last sound I heard and before going back to sleep I remember commenting aloud ""weird"".The next morning before going out on the hike we talked briefly about the sounds and A.S. mentioned that before the coyote sounds there were some stranger sounds that had woke him up (more about this and the other sounds later).On the hike down trail 21 we found some deer trails that per A.S.'s GPS system looked like they went down do Skookum. We decided to follow the trail and maybe an eighth of a mile down the trail A.S. got excited and pointed to what could have been prints.  The prints were vague but did appear to be somewhat human shaped with possible toe and hill prints (the ground was fairly firm and the prints did not look fresh). I would say that the prints looked like size 12 or 13 feet. The prints also appeared to go down the trail and there were possibly 4 or 6 that we could make out. Since the prints were pretty vague it would have been impossible to make casts and we decided that the pictures probably wouldn't come out well (now I wish that we had).For the rest of the trip we didn't see or hear anything strange. After the trip we discussed the prints more and of the three of us, D.G. appeared convinced that the prints were the real thing, I was fairly neutral giving them about a 50% chance of being the real thing (I would like to have higher confidence but I was worried that we could be biased in that we ""really"" wanted to see something) and A.S. who had been the first to see them and initially very excited pretty much talked himself out of thinking they were anything of importance BUT he kept mentioning those weird sounds we heard the first night and how he thought they might have been something.I didn't think too much about the sounds besides doing my rendition of them for my wife, brother, and sons until the night of Friday August 17th. Up until that time the main reason why I didn't pay them as much attention as I later would is that they didn't sound like the sounds available on the BFRO website. That all changed on the 17th though when I was getting ready to put a movie in the VCR and noticed that ""Encounters with the Unexplained"" on the PAX channel had a special on Sasquatch.  After watching for about three minutes, they played supposed bigfoot sounds and several of them WERE JUST LIKE THE ONES I/WE HEARD!! My wife who was in the next room unpacking heard the same sounds on the tv and noticing how similar they were to my renditions made a comment as to whether or not those were the same I heard. In that instant when I heard those sounds on TV I decided that we had heard a bigfoot and for about the next half an hour I had goosebumps going up and down my body (my wife was shocked/amused about how shaken up/freaked out I was).On Sunday I called A.S. up (he had been away for the weekend) and questioned him more about the sounds that had originally woken him up. He said that he had first heard a long moaning like sound followed by a loud wail which was followed by the coyote and other sounds which I had also heard.  We decided that we might as well submit this report to BFRO and after talking with D.G. he also agreed.My apologies that this is such a long story just about some bigfoot sounds and possible prints but I am still very excited about it all and thought that you might be interested due to this all happening in the area close to Skookum. "
3240, Coming south on Highway 259 you travel about 5 miles of the junction of 259 & 4 (which heads back to Smitville proper). On the east side of 259 you will see a low water crossing that crosses Mountain Fork river you follow that logging road 2 miles to the east. At the two mile mark the road Y's back south there is a pond on the south side to mark this spot. You take this logging road about 1/2 to 3/4 of a mile further and you will see the steep bank off the road on your right hand side (west). I will include more precise directions here below:Using the Smithville Quadrangle 7.5 minute topo map the UTM coordinates are as follows:Zone 15347964E3806266NThis area sits between Hee Mountain which is to the south and Mountain Fork River which is north.
4077,"Hi,    I am relaying this story for my brother since I have access to the net and he does not, but I will relate the story to you just as he told it to me with his permission. My name is [PB], I am 35 years old and live in Salem, VA in Roanoke County. My brother [RB] who actually had the sighting on April 4 of this year is 8 years younger.  I have several rental properties in this area and my brother is my repair person/handy man.  One particular rental property is vacant and it happens to be directly in front of the house that I live in now.  On Thursday April 4, 2002, my brother was painting the interior of this house.  I work 2nd shift and usually get home around 11:30 each night.  At 11:30 I noticed that my brother was still working on the house so I stopped to see how things were going.  He was visibly shaken so I asked him if anything was wrong.  He then told me that at aprox. 10:45pm that night, he took a break and went out to the front yard to smoke a cigarette.  He heard a dog barking back in the woods, about a 100 yards away.  A short time later my dog became extremely agitated, barking and growling.  He was startled because he had never known my dog to behave in this manner.  He then heard something large ""crashing"" through the trees, and what he saw, he just couldn't beleive.  He said he saw a ""very large creature"" traveling at a high rate of speed and making a very loud ""gutteral grunting noise"" running much faster than a human could possibly run.  He said he got a very good look at it before it crossed the road and went out of sight. It's arms were swinging down by it's sides.  He said it was very broad and very tall but he could not tell me just how tall it was.  He said that it was very hairy, and described the hair as ""long and curly like a sheepdog"".  He said that it appeared to be a silver-gray color.  (All the reports of bigfoot sightings I have ever read however seem to say that they are brown or black in color).     My brother said that he would be glad to speak to anyone who might be interested in hearing his story first hand.  This is also not the first sighting in this area that I have heard about.  I also have a good friend who tells me that he saw a ""Bigfoot"" while out scouting for deer in Ironto VA. in Montgomery county.  Acording to my GPS, it is 9 miles from here as the crow flies.  I can honestly say that I absolutely beleive my brother's story and my friend's as well.  Thank you very much for the great work and I look forward to hearing from you,Sincerely,[PB] "
5176,"My original plans were for a trip to northern California to visit the famous Bluff Creek film site and drop off some casts and pictures to the Willow Creek Museum, arriving on this day, the 35th anniversary of it’s making, October 20th. I had talked with Joe Beelart about this trip, because he had just returned from the area with a party of 10, including Peter Byrne, Todd Neiss, film crew and our own Al Berry and Ron Morehead. Joe talked me out of going there by myself because of the terrain and for safety reasons, so I altered my plans. I decided to divide this trip up into three parts… doing some things and going some places I had been meaning to for a long time. Skookum Meadows revisit, Estacada and the Wynooche river drainage.  I usually make trips like this in search of areas to investigate for longer periods of time at later dates. I do these scouting trips mostly alone and try to cram as much as possible into them.  Oct 19 – Met with Jeff Lemley and his brother around 10:00PM in the Skookum Meadows area to do some late night call blasting. By the time I got there they had already tried a couple of sets. It was quite foggy, but the sound still carried well, with echoes lasting a few seconds after the source stopped. This is the best time to blast out these sounds, late evening, early morning in the fog since the air is quite dense at this time. Interestingly enough, the primates that do use long type calls for communications between members also choose this time of the day to do so.  Jeff and Alan Terry have built themselves quite an impressive sound blasting system. It is modular and has very good output. The sound was clear, I heard no distortion or feedback during the blasts he made. It ran off his car battery. I was quite tired and didn’t last too long sitting outside with Jeff and company in the cold, I crawled back into my truck around 11:30PM and quickly fell asleep. My day job work shift gets me out of bed at 2:30AM and I usually work 10 hour days. I was starting this out all wrong.  Jeff woke me around midnight and said that they were going back home and that they had heard nothing while I was sleeping. I thanked them for meeting with me and bringing the equipment. I watched them leave. I quickly went back to sleep.  Oct 20 – I woke at my usual time – 2:30AM (great!) and started to drive the back roads, visiting the Skookum Meadows Expedition base camp, hill top and ridge top sites as well as the cast site. I wanted to take some measurements, get another average GPS reading after the military eliminated the scramble signal at the cast site and just have a look at the general area during hunting season.  One deer and a lone coyote, evidenced by their tracks had visited the cast site. I collected a soil sample, documented the cast site with pictures, GPS and did some tape measurements.  I found some interesting things traveling around the area this trip:  · A skid mark, looking very much like a human buttock on a road side bank, complete with what might have been hand prints and three impressions that hinted at being bare footprints – 16.5” long x 6” wide at the ball and with toes.· At the exact spot where, during the expedition, I had been filmed looking at some heat tracks on the road with the thermal imager and where I cut open a melon fruit, I found a bee hive, broken in two. It was a natural hive. I couldn't think of why a bear would carry a hive around like this only to suck on it out in the open on a dirt road. There were more large human shaped tracks leading down the road side embankment nearby.· Along the roads, on the side banks, I found 20’ – 25’ fir trees growing half way up. Large human shaped tracks led up to a spot behind these trees and then back down to the road. Some stomping around behind the trees was evident. This lead me to envision something treking up these small slopes, evading night time drivers, returning to the roadway only after passing.· Someone had been leaving fruit...  I photographed these findings and casted a track. Track found near Skookum Meadow.Second track found near Skookum Meadow. I stayed in the area till around 4:00PM, leaving for my next camp spot… Estacada Oregon, the famous Glen Thomas site. I had arranged to have Joe Beelart guide me to the exact location. I could not have asked for a better person to go with. Joe is a wealth of information about this river drainage. I spent the night at a rest stop in Estacada waiting for morning and the meet up with Joe. I worked on my notes and downloaded all the digital pictures taken so far. I also cleaned all my camera lenses. Oct 21 – 7:00AM Met with Joe who took me to a local bakery for a donut and coffee, then traveled up the Clackamas River for what seemed like forever... but it sure wasn’t boring! There were hot springs along the sides of the river, deep gorges, high cliffs… I was really impressed. The trip was about 80 miles in from Portland.  Arriving at the rock scree site around 10:00AM, we walked the final 1/3 mile. I wanted to videotape Joe describing the site and the evidence. This evidence is in the form of 6’ deep pits dug into these rock screes and the removed 100lb+ rocks neatly stacked nearby.  John Green wrote about this site in his 1971 book “On the Track of the Sasquatch”, pages 63 – 66. He had brought along his son on that trip and photographed him standing in one of these pits. I photographed Joe in the exact same hole. Later I matched up some of the rock faces with the picture John Green put in his book. Some rocks are missing from the piles but it didn't look like any new ones appeared.Joe told me that further up the hill, in other rocky areas, there may be as many as a hundred of these pits and rock cairns. They had also found things that looked like long mounds in these rocks, thinking it might be a burial site, he contacted local authorities and was told not to mess with them. He has several theories in his head right now concerning them:  · These possible burial mounds would eventually collapse when the body decomposed and was eaten by the many small rodents living under these rocks, leaving no tell-tale evidence. Maybe what we really need is one of those fiber optic camera attachments to look under these rocks. · Local Indian archeological sites have nothing that looks like these pits and cairns. They would not build anything at that altitude nor that exposed to the weather. The high side of the pits I saw were on the southern side.One the trip back down into Estacada, one of my Ride-Rites (a small air bag type of shock absorber for my camper-truck combination) lost a bolt and popped out while driving. It rubbed against the inner tire and produced a lot of blue rubber burning smoke then quickly lost air. We fixed the situation with some rope Joe had brought along and continued down the mountainside, loosing maybe just 30 minutes.  My next stop was a visit with TP at his home, which Joe led me to, arriving around 5:30PM.  T, CO and myself shared a campfire on his back property discussing Sasquatch in general...  T informed me that he had been working through the summer (his teaching vacation) for the Forest Service. He had approached them about using remote cameras to document local wildlife. They were interested in Wolverine and bought 10 cameras for the program he had laid out to them. T got some real good experience with this project.  Oct 22 – Well to get that Ride Rite fixed I had to spend 4 hours sitting at the Clackamas Les Schwab Tire Store. But not a penny came out of my pocket. They even had to replace the tire.  My next stop was back up in Washington, at J P’s home. The drive up to his place was uneventful except for the fact of seeing the area where many sightings and track finds have been recorded. It is an area I will definitely go back to, and soon.  I arrived at J's around 9:00PM. Before turning in for the night I just had to show him the video from Estacada, so we hooked it up to his big screen TV. It looks like I am going to need to practice a lot more with that camera. Talk about amateur!  Oct 23 – J took me up into his study areas this morning and I was quite impressed. We encountered some River Otters sharing a large fish in a stream closed to all but foot travel. We spent a couple of hours just sitting and glassing a hillside at around 2800’ elevation.  There are many rivers in this area that have excellent banks to look for tracks on. Some are quite close to his home. "
5251," Piute Mountain region of the Sequoia National Forest, located 20 miles southeast of Lake Isabella. Our campground (Saddle Spring) was located 5.7 miles north of Piute Peak (campground). The coordinates of our campsite were 35 31.185 N, 118 24.748 W; at an elevation of 6,866 ft."
6734,"I may have stumbled onto a print by pure accident, while hiking with my niece and nephew in the Siuslaw Natl. Forest, west of Dallas, Or. I will give details of the location later, as not to saturate the site with the public, so I can finish my investigation in the area and get more readings and data... GPS, photos, and history on the area... Here is what I have thus far....On the mid afternoon of 24 July, I took my niece age 13, and nephew age 16, to an area I used to hunt and log about 30 years ago west of Dallas, Oregon. Thirty years has changed the area quite a bit as Weyerhauser has bought up a lot of the land, Boise and Hampton Co. as most of the area is logged out, there is still a large standing area of some old growth and an area in which to hike. We were not 15 min. out from my truck on a trail and my nephew blurted out... ""Uncle Ron, look at this foot print!""  Off the trail a foot or two was a large print made in dried mud, (the last rain in the area was about 6 July 2003), so the print was well defined and clear as the photo shows. Several things I noticed about the print,1) It was not a boot print as no boot tracks were showing, the print was smooth, consistent with a bare foot print. 2) The width was about 9 inches wide at the largest width, and about 14 inches long. 3) Toe contours could clearly be seen, but it looks like what ever made he print may have stepped on a twig, wood, so not all the toes made an imprint in the mud, as the casting shows.4) The foot print clearly shows a heel print, and arch in the foot, the edge of the foot at wide proportions from a very heavy individual. 5) As the trail is used lightly by mountain bikers and horses, as seen by tracks on the trail. Our 5 hours up on the trail, I only saw one mountain biker that day while in the area. So, it is not used that much, maybe only by locals who live in Dallas or people who know the area.I attempted to make GPS readings that day, but for some reason, my GPS could not pick up satellite signals possibly from the heavy canopy of trees. Another attempt for a long/lat reading with negative results on a second trip. I will attempt a 3rd trip with new batteries and see what happens.The print was, as I said, left of the trail, going SSW. I searched the area for about 2 hours, hair samples on trees, scat, or other prints in area...negative results...photos of area were taken from different perspective points. At this point, as I dont want to ""contaminate"" the area with undue traffic, I will keep the exact location confidential until I complete my investigation. Now a little history on the area. I have hunted the Falls City and Dallas area since 1970. In 1972, while heading to Falls City, Or. my friend Rick swerved to miss something darting across the road... I was a witness to something large, tall and running on two legs, not four....thinking it may have been a bear, or a crazed hunter dressed in black... we both, as teenagers could not answer what we saw... The stories we had heard is, that the Dallas and Falls City area from old timers, and hunter friends of ours, stories of BIGFOOT circulated during that time... especially after the famous RED BLUFF, Ca. film clip of the famous Roger Patterson... from 1967.As the photo shows I took a casting of the footprint, as mentioned, only one was found thus far. Within the next few days I will attempt to return to the area for further investigation and findings. Will keep you posted... You do have my permission to post this report and photos... At this point, ""undetermined what made the print""At his point only two other Bigfoot Research Websites have been contacted on this sighting, no response as of yet. My friend RAY CROWE has highly recommended your site and organization for years. I first met Ray Crowe at a seminar he did on BIGFOOT in 1994. I am also a good friend of Lyle Vann of the Arizona Bigfoot Center Paulden, Az. "
