reportID,other_witnesses
35339,"4 My husband, son and I. Plus I was on the phone with my daughter-in-law and she was able to hear it."
6938,There were about 8 persons who first found this then family members of some of these men came to see the phenomenon so I would have to say more than 10 witnesses. The field was freshly plowed the day before so the tracks were made between 4pm on the 29th and 7am on the 30th
7031,I was the only person in the car that night.
245,There were 2 witnesses.  We were fishing prior to the incident
27459,none
43217,None.
65679,There were several cars in front of me. There could have been other witnesses. One reason I noticed the Bigfoot was because the traffic was slowing down. It is second nature in this area to aware of wildlife so I was looking for a possible deer in the road when I noticed it.
37038,Just me
961,
43120,Me and my wife
41827,No.
76,THRE TOTAL/FISHING
1637,Did not see anyone else. So I guess I was the only one.
7969,I was the only witness to the activity
6178,myself
2635,"Two witnesses; mother and 37 year old son, walking terrier dog along shoreline of lake. Dog was following fresh and large raccoon tracks."
3032,There were four other witnesses besides myself who were all talking at the time of the sounds.
62678,3
9507,Me and three others.   I was a passenger in a car on the second occassion and we were returning to our festival site after a performance in Missouri.
36178,
1638,
3519,Unfortunately I was the only one around.
18972,No
2931,1 was watching television.1 was waken from sleep be strange noises.
27482,"2, myself and Chris"
59736,Yes my son saw it too
338,me and my dad
13983,2 myself and my friend.  We'd been fishing for an hour or two.
8913,
63860,One driver and one passenger.
37862,no
29313,another guy fishing there saw them.
40020,NO JUST ME
5228,It was just me.
24254,"Yes, a friend, Sean"
56954,My brother.
2774,"One witness and myself. Both witnesses had been ""parking"" as many teenagers did at that time."
62851,
37010,there were 2 witnesses me and my wife. we were taking a walk scouting because we were considering getting a telescope at the time. finding good places to look up at the stars.
13211,I was by myself.
12824,My husband and son were witnesses to the footprints.  I did take pictures.
7059,The first time the scream was heard I was alone.  The second time I had a friend with me and we had just stepped out on the deck.
1641,Periodically walking and stopping while hunting/scouting.
1640,My daughter and I were driving home from a class at one of the local universities.
46380,2. Myself- driving. My daughter- riding in the passenger seat.
13286,No other witnesses
6932,NO JUST ME
9753,0 witnesses. Couldn't get my Grandmother and Mom to look quick enough.
63984,Naw
1944,three witnesses :two fishing one taking a leek
13718,1
62340,Zero.
2494,the bus was half full of people waiting for thedriver to finish his call of nature so we couldstart moving again. my sister and i got the bestview because we was looking out the back windowtrying to see what the driver was talking about.my parents and a few more saw him start across theroad behind the bus. my sister and I watched him cross and enter the woods on the other side.
59520,For the calls- Two adults and 4 children old enough to remember.For the pounding on the house 2 adults and 3 children.
2957,"2, me and my brother Mark.  Riding in the back of my dad's pickup."
75162,One other witness -- my son
38015,
27948,No others were with me.
26750,Only me.
36498,no
7971,No witnesses except for those two Walker hounds.
2104,just one driving and checking out the trees and the outdoors.
4090,
26100,"no one was in the truck but me and no one was on the road for quite a ways,"
62625,My sons father and I. We both saw it while hiking.
72313,
56108,"1, driving"
16696,no
62203,no
29503,"There were four of us: my two roommates, a mutual friend of ours and myself."
7815,Just the two of us.
3226,Just me for the footprint.  My wife for the sighting.
56735,There were no other witnesses at the time.  I was alone in my vehicle.
40101,No
39922,No other witnesses. I was hunting alone.  I tried to get my brother in law to go with me the following night but he could not go because he had custody of his two girls for the weekend.
57471,"No other witnesses during the initial sighting, although I and three others saw the animal at the Drop Zone about  a year later."
56443,I was the only witness to the growl but my husband and I both witnessed the things being left in the powerline
44912,2
29417,"My buddy saw the marks and heard the grunt from 400 yards away, he was on the other ridge hunting"
8420,none
4094,Just me
3143,2  My uncle and myself.  We had been playing there for hours before we noticed anything.
8819,"No, just the horse I was riding."
5342,
8527,[No other witnesses.]
11252,Two friends was with me but only one saw it because the other one was to busy trying to get the girl to calm down.
28839,Yes 2 others.
30063,one and he was in the car
13516,My mother and 2 cousins who assisted with the photographs.
62595,"My son, we were fishing until our attention was directed somewhere else"
11632,"2 witnesses- 1 saw and heard , 1 heard     Talking..."
10913,I was alone and was squirrel hunting.
5316,"No,my friend was with me,but didnt get to see it because he was to far down into the creek,I was on the bank.N"
10093,"Just me and the dogs.  While I initially thought my grandfather was the prankster (he has done this in the past) the ""runner"" moved just fast enough to stay ahead of me (I was recently in the military for 8 years) and could have not been my 75 year old grand father."
50541,No
55410,No just me
11786,"James, we were both fishing and the fish hadn't been biting. right after the noises, the fish started biting and the sounds quite... they only lasted for about 10 minutes"
22101,Yes. THree of us me my friends Jacob and Jonathon
45320,just me
26297,My girfriend.
17804,Just me.  Driving alert for animals on road and bad road conditions.
16580,"No, my wife was reading a book.  By the time I said, ""What that hell was that!""  and she looked up,it was already off in the bushes."
12214,I and my friend
6552,no
846,"My friends and cousins, about 6 of us."
13548,One other witness was there; a forest technician.
11858,No although I mentioned it to my grandfather right after it happened (he was in the car with me.)
8685,
440,
55195,One
49293,My two children heard the sound on the window. I heard the whoops and knocks alone as they were asleep.
46243,2 witnesses (including myself) in a car of 3 passengers. Witnesses were looking out the windows on the passenger side of the car. Driver did not see the sighting.
41981,It was only my Wife and I we were sleeping in our tent.
36623,"1 OTHER , WE WE BOTH SLEEPING"
41186,"Although my kids were with me, they did not wake up."
32251,Not really
28642,"Yes, my son was present and saw it from a different angle.  We were both sitting at the campfire."
34283,No
24732,2
24659,"My brother 30, sister 19, nephew 10, and daughter 3. attempting to make bigfoot type vocals away from camp."
24218,Two witnesses.
23440,My daughter was with me - a number of other people also heard the same thing.
21348,I dont know. There was only one or two campers still there when we where leaving. And I honestly did not know what to think about what happened. Until I saw this sight. I still dont know what to think.
21535,One witness (my friend) in tent next to mine.
16520,
20235,no others
15441,I do not know the closest people left to quickly to talk to.
15125,None of which I am aware.
14508,5 witnesses all around a campfire
12795,my 22 yr old son   40 yr old brotherinnlaw..and myself 45
11807,Only myself.
9506,just myself and my boyfriend we were sitting by the fire just talking at a normal tone.
1027,Just my son and myself.  I was using the camcorder while my son was climbing a ridge of lava about 15 feet high next to the access road where we had parked our Montero.
1028,1..my nephew
3482,ONE WITNESS MY COUSIN SHAYLA
10877,wife..2 sons
15178,"aunt,cousins"
13964,My entire family including me of 8 people.
11514,Just my girlfriend at the time. Almost no traffic on the road. So no one else saw it.
38375,Just myself that saw it
7776,We had a lab that was very dull between the ears. He would follow me everywhere if I let him. He was not well trained and could be a handful. He feared nothing. Several times during the night and once during the day I found him all the was in the back of the tent shivering uncontrollably in the back of the tent and refusing to come out. Infact when I tried to force the issue a little bit he fought me and remained inside the tent scared and shaking.
24405,My wife and Myself.Our daughter was only three months old.
23358,"No, my husband and kids were all asleep.  The traffic was very light due to the time of night and it being Saturday night."
29441,none
3625,1991 - My ex-wife.  We were sleeping.1999 - About 20 people smelled the odor.  Socializing.
7495,Just the two people in the car
24302,"just myself ,other than my neighbors who heard the growling"
41447,"me (39), dad (65), niece (14), niece (20), and friend (14), tent next to us heard noise and their 2 dogs reacted by whimpering too."
41350,daughter and I were the only ones that saw a person walk in front of tent.
24886,"6, shooting the breeze"
17448,none
949,"Including myself, there were three witnesses.  During the screams, we were all sitting around the campfire talking.  During the visitation, we were sleeping in the tent."
11549,just the one
44485,My family was a short distance away. I sat on a fallen tree. My back was to the slope. family back to me.
7566,"No other witnesses to the sighting, but several witnesses to the possible evidence."
23136,"2, my buddy was half awake and when we saw it we both freaked out out"
42364,No witnesses
573,
33484,Yes the passenger in my truck
47536,No other witnesses to my knowledge.
29358,
27495,"Just me, my wife was asleep"
25625,"My fiancee saw the photos I took and agreed that the impressions looked like a ""big"" footprint."
20833,ME AND MY FRIEND THAT'S ALL
19339,I was the only person patrolling the area at the time of the sighting
510,"John Yavonovich, math teacher at Fenster for the wash track sightings. The secretary I reported the sighting too, older woman, name forgotten. Plus told what I saw to student Chris Usendek from Grosse Point Farms, Michagan."
45652,"Me, my son and friend.hiking single file."
27303,"just me. i know this because going down the hill you can have see all the campsites. i had come down about 6 pm, noone was camped at any of them."
24818,My wife
13773,myself. I was the only one
12266,Kids and I just hanging out. .
2375,"My 19 year old Son, and we were in bed trying to sleep."
1818,"We were hiking, roughly single file, in a loose patrol formation.  There were, as best as I can recall, 6 of us who saw the print."
28946,One. Myself
62497,1 other witness. He drove the other car. I've shared the story with family members on several occasions since.
39181,No other witnesses. We were deer hunting
12818,No other witness was present at the tracks.
9898,1 adult (child did not care to witness the scene)
5791,3 of us here the sound and 1 smelt it.
8463,none
802,"my brother, our friend, and myself hiking, exploring mines, mountain-biking."
7336,"Just me, checking things out."
5104,There were four of us on that trip. All four heard the tree. Myself and my partner had the rock throwing experince.
803,"We were having a snowball fight. I was running, fell, got up, and saw the tracks. We took pictures that day but not of the tracks...my brother thought they were faked."
28432,My friend who was in the car with me.
9368,No
8896,"3. I was making sounds, my friend was relieving himself and his girlfriend was in the car."
7416,No
4917,4 friends with me who wouldn't say it was anything other than a woodpecker.
26850,no one else
1547,"I am employeed by the California Department of Forrestry, and was a Captain at Trandfer Point Forest Tire Station (since closed) at the time. My crew and I had been on a fire in Stirling City since 10 or 11 o'clock the night before. I had 3 firefighters with me, one in the cab & two on the back. They were all in the back. By the time I got over my supprise and woke the firefighter in the cab up it was gone. We went down to the area but it was mostly gravel and though the rocks seemed distirbed there was no footprints."
9051,"my wife and I, kids heard the whistling only."
8226,My friend was the only other person around for a at least a mile
3021,There were six of us who heard the screams. All were sleeping and were awakened by the unforgettable sound.
6160,"there where 12 witnesses, who were all asleep at the time."
431,"Sounds were heard by witness, his wife, kid, and other family camping there.  Footprint was seen only by witness."
5477,No.
4366,One witness.
166,"One other witness, My friend Diana who was visiting from Ohio."
63033,Alone
24929,Myself and my Wife.
7702,"2,  We were just sitting in the truck for about 2-3 minutes and listening to the river and talking when we first heard it."
6950,Just Me!
6946,None.
5383,The reporting parties sister.
4845,"Three witnesses total: myself, my daughter and my son."
3075,"Just my son, my daughters and wife were asleep, and I was driving."
1655,Driving home
1579,Getting ready for bed
1578,at home reading
62496,Three on the first night including myself. We were call blasting.
2955,"Playing a stereo rather loudly with the bass turned up, and setting off bottle rockets."
1557,
2954,
2956,Climbing over a tree
1551,One witness besides myself.
4445,"Yes, my roomate was with me.  We were both just recreating, cooking over a campfire, laughing at jokes and going to sleep."
12917,
1664,"Sitting around the campfire, talking."
5260,"My father, mother, and sister (5)"
1563,
75096,No
47165,"One, my girlfriend."
26258,"Two, I was a passenger and my husband was driver."
21165,No other witnesses
15344,"Yes. My girlfreind, her Aunt and Uncle. Others at the immediate campsite said they heard it to when I asked them."
12518,"No just me and my dog, she is 3/4 Lab & 1/4 Queensland Heeler a great hunter she just watched it and made no noise during the encounter."
15821,No. Unfortunately it was only me.
11837,2
8650,My brother has seen the markings as well as hearing the strange sounds at night.
6868,4 in total that heard the screams.
6639,Just my wife and myself.
11948,"My husband was there, but refuses to be a witness to anything I tell you.  So you just have me."
3794,My sister and I.
353,"My wife and I. There was another car faily close behind us, but I don't know if they saw it."
3822,"Dad, Step Mom, my sister, and Me."
6130,Just my son and I. We had just come back from fishing and were sitting in camp talking before we went to bed. No campfires are allowed in Desolation Wilderness so we were just kicking back in camp. I think there was a partial moon out but I am not sure.
913,2
147,"three--myself, my brother, my girlfriend"
2137,
919,"one, son was looking out the window of our car and spotted the bigfoot or large hairy man as he called him."
1055,3
6746,
4790,"On the first occasion, mom, dad, two sisters, uncles, aunts, and cousins, were the witnesses, and we were all walking. On the second occasion it was mom, dad, two sisters, two cousins, uncle and aunt, and we were riding dirt bikes through the mountains having fun."
48429,My wife
18325,Just me and my hunting partner.
17458,2 other witnesses.  They were walking ahead of me in a line.
12165,asked two people I was with but they were asleep inside a car and didn't hear.
9296,hunting partner was a couple hundred yards to the south did not see it.
5418,"Three persons total, had just finished setting up our base camp"
1496,"There were two witnesses, myself and my cousin.  We were out for a walk in the meadow below the ranch."
8868,only two winesses. My friend Greg and I.  we were sitting by a campfire.
865,
1068,2 and he was fishing.
2961,We were on a very long mountain bike ride. The hunters were on there way to the high country
2960,"5 of us sitting on lawn chairs around camp. No fire. I don't know if this does you any good. Basically last weekend for the first time since this occured, the five of us were together at a wedding. 3 of us remember hearing both noises, the other 2 only remember the ""megaphone"" sound."
11897,3 total
3605,3 of us heard the screams.
4929,"No other witnesses. The other two in my party did not hear the sounds, though if they had been standing where I was I am certain they would have."
2996,Breaking camp.
2876,Hiking back to the camp area.
72111,"4 witnesses total. We walking along a well established trail, talking and visiting."
69315,Not to my knowledge yet.  I do not know if any of my neighbors heard the howl(s).
67556,
63645,Only myself
74293,"Four witnesses.  We were driving south to Trinidad, with reservations for the Trinidad Inn, located a few miles north of this sighting, on Patricks Point Road."
23811,"My wife and two sons, my wife's aunt and uncle and my mother who visited for two nights."
16342,No one else accept child who was asleep.
15652,"Myself, my partner and the camper next to us. Still in our tents and just waking up! All very experienced campers - never heard anything quite like it."
369,2---- we were just sitting around the campfire doing our camping thing.
13362,"Chris 14, Zach 9, and Skyler 6 Roasting marshmallows."
10265,No
7504,just one
9439,Two witnesses total. My brother and I. My Brother and I had just ate dinner and we were watching a few deer that were grazeing around Onion Lake and our campsite just before we heared the first grunt at about 9 p.m.
7452,One friend
8234,
6520,myself and 2 other people
4043,One (co-worker)
2755,three other people involved.   One was at base blasting sounds (he didnt see it) and the other two was located up above the base with night vision
827,My boyfriend and I.  We were just talking about nothing on our way back home.
2178,I was by myself with two dogs. I was driving out from the ranch where I have my garden.
1727,2 heard it and 1 saw it.
2859,"There were six of us in the party: four males, ages 32, 23, 15, and 15 and two females ages 22 and 15. All were alert during the first sound encounter while preparing the camp, tents, fire, etc. The second encounter at 12:30 a.m. included the three adult witnesses and one teenage male. The adults were standing around the fire and the boy had just climbed into his bag in the tent. The third encounter at 5:30 a.m. included the two adult males and the same teenage male. All had been sleeping but awoke nearly simultaneously prior to the final sounds as if a previous sound had awakened us from sleep."
2141,
2151,"No, my husband was sleeping."
7988,No.
1665,"I was camping and asleep, there were 2 other campsites being used but 1 of them left around 8:00pm. Where my campsite was at I could not see the other campsites that were being used."
2148,
11519,one other witness.  We were both driving in his truck through at least 1 to 2 ft of snow
9283,2 riding in vehicle looking at scenery going by
2147,"Myself, somewhat credible I like to think. Friend also credible. Both Air Force pilots, we were going through training at Castle AFB in Merced, CA. We would go backpacking one weekend a month instead of swilling beer."
1794,myself and my exwife.We were taking a short hike for the afternoon.
2150,
11576,One other witness besides myself. the other witness was driving the car we were in.
2176,One witness besides myself.
2142,We had just finished watching the Perseids meteor shower in August. We were listening to loud rock and roll music and drinking beer.
1108,Only other persons or things that had been present had ran down the beach
2935,"My father and I were walking inland from our camp at the mouth of the creek, exploring."
6963,"Five boys ages 16,17,18.  We were all camping out."
6961,No other witnesses
5232,"Yes, one, my hunting partner."
8345,"Just me, I didn’t see any cars pass, but I can’t be sure."
62169,2- The reporting party and his girlfriend.
25266,"Two witnesses. Me, the driver (it was my turn at the wheel) of the small convertible and the owner passenger. Both were 19 year old males, and old friends. The top was down, even though winter, because we had skies in the car. This had been a non-drinking day of skiing for us. The car was a little Fiat with a great heater and wind deflection design.  We were driving on the Highway......"
67480,"My 10 year old nephew, son 5, and I were sleeping in a 4 man tent."
21684,"One witness, my father."
8487,"Not during the incident but after, yes my dad and my friend J.C.. They were on the trail behind me coming down."
27844,R.S. he was hiking with me.
25492,"Yes, there are 2 (two) others."
22598,Yes my son. We were talking about the old mining camp.
9426,Unfortunately not.
7778,I was the only witness involved.
6854,myself
5294,One Co-worker
5251,"My hunting partner, and at least two other hunters in the same camping area (whom we spoke with the next morning). We were sleeping."
1036,One witness.  My son had gone back to the car and is almost impossible to wake.  I was alone in the tent when I heard the unearthly scream.
264,SEE: Desciption
13096,"My girlfriend, became my wife and we are still married."
9648,"Just myself and my hunting partner, Chris R.  We were hunting blacktail deer."
74829,There was only two of us and our dog
15039,"Only me, as far as I know.  People up here keep mostly to themselves, and I don't know many hereabouts."
4132,"Just myself, and a friend.."
27687,3
21674,"One other witness, and he was with me at the time."
14953,"One besides myself, following my lead back up the creek bed, nothing unusual, maybe drinking from a canteen."
15013,"One other witness, friend of mine, haven't talked to him about it since, am no longer in contact with him."
1742,"Two, me and my cousin chopping wood."
1634,Only my brother who was my hunting partner that night. He was out of my truck and down in the ravine in Browns Gulch (on the opposite side of the road from BF) picking up a Grey Fox that I just called in and he shot while we were on that hunting stand
2249,My friend Greg and I. We were fishing.
83,Just two of us sitting in a p/u waiting for a little light.
4947,I was all by myself.
1643,"one witness, named Jerry"
24146,"There was another vehicle traveling north also, but it was in the left lane and behind me and it never slowed at all, but I was alone and observed it(the animal) for probably 10 seconds"
22500,"I was the only one who saw this; everyone else except for one other person were up a hill, with flashights and hitting sticks on trees."
15782,two witnesses. my wife and I
8735,There was a total of 6 people.
10279,"My self and husband for last nights event. Previous events included my two sons, and my teenage daughter. One of my son's friends,age 19, was here for the water pipe breaking incident."
4182,3
4886,Two
2198,I was lying down before dinner.
7860,"None, just myself."
8059,My older sister.  We were in the car talking prior to incident.
2255,
97,There was only me.
875,My witnesses were sleeping but heard the loud screechig but passes it off as owls or mountain lions
65849,My father said he saw something moving but I am almost positive that he wasnt looking in the same direction as I was when I saw it. It was only visible for a second or 2
49896,5  sleeping
27966,"The first vocalization my brother, father and I were outside on the deck of our cabin around midnight.The second vocalization my brother and father were watching TV with all of the windows open and my mother was in bed with the windows open in her room as well."
24743,Just me and the dogs.
39649,
23768,"My wife and two children, ages 4 and 6. But as noted, the event was not noticed by any of us at the time and was discovered 17 years after the video tape was made."
20306,No
20594,My sister and her husband.  I'm sure others in the camp heard the howl.
15855,I assume just myself by the behavior of those I had seen.
12383,"3 witnesses, walking down the trail heading for the truck."
3105,one other witness (my friend) old college roomate Oh and the 3 people in the cabin that denied hearing anything or seeing anything with their flashlights
2942,Just myself and my brother heard the HOWL.
13613,4 persons
1510,Just me and my brother as stated above. We did not see anyone else at the lake as it was getting dark and cold.
10718,8 (2 with witness and five from the other camp)
5463,I was hunting alone and no other witness were present
12292,My son was the principal witness.  I only caught a glimpse.
12247,One.  Sylvia Txxxx sitting on the sand.
15174,1 witness to the sounds and 5 witnesses of me freaking out.
9555,No
7804,"mother, father & son"
8026,Just one
4885,son observed the aquisition of samples
14407,
12649,2   walking
16550,"No, just me and my two dogs."
3424,4 adult witnesses and 8 children
3421,"There were 10 witnesses, children and adults.we were roasting marshmellows around a very bright bon fire."
21808,"yes. my sister-29, my girlfriend-21, my two sons 5 & 9, our dog, which really flipped out and cried and howled at the area were the tree was right after i pushed it almost as if one of us fell inj and she was trying to help or something, and then myself - 30"
7331,"Just me, my friend had turned in. I was just staying warm next to the fire beforehand."
2919,Three witnesses.We were free-climbing around adventuring around the rock formations and looking for places to rock jump into the river.
502,"3; my father, my brother, and me. We were hanging out at camp, just talking and hanging around. I had shot a couple of cans with my pistol. Listened to the stereo in my truck, ate, watched TV."
2326,"I am not too sure, alot though, 10 maybe 15 people.  Alot of us woke up on the second time it yelled out.  Sleeping, there is over 15 people in every unit.  There was about 60+ people there that night."
2212,"Just finished dinner and were hanging out by the fire, cleaning up some of the dishes and cracking jokes."
2211,"Day hiking, trying to be quiet to avoid startling wildlife."
2227,Mining.
2226,
65566,none that will go on record
24936,A girl friend who could not dig her glasses out in time to see it.
24644,One other possible witness to sounds.
24137,My Girlfriend at the time S. McD. a PreVet Major at Cal Poly Pomona. Sitting on the hood of her car and admiring the lake with me
26152,Just myself and my 7 yo son. We were talking.
5253,Only myself and my girlfriend at the time.
46330,My 4yr old daughter
26386,"My Mother and I heard it, and we think our neighbors heard it.."
56754,probably 5 or so.
24456,"No one because it was one oclock in the morning and everybody else was in bed.  The only reason I was up late was I do a lot of counseling, and I just had gone to bed at 12:46 that night."
9759,Myself
7759,None.
6304,"Myself, my Mom and Dad, my brother, my husband, neighbors, and my sister in law and her fiancé."
5160,"There were six witnesses, nine if you count myself and my neighbors, but we didnt' actualy see the creature."
2247,"Trying to go to sleep. Two in a tent, one in a van."
2229,
2248,Myself.
63560,My wife and a friends wife.
36070,Sister in law
4446,no
51530,None.
2816,
2779,
2782,
2907,There were four Marines that saw this creature and all saw the same thing.
25444,"There were four of us, we where eating and drinking beer, we were not drunk; we had only had a beer or two apiece."
20197,"No, my husband had either dozed off or wasn't paying attention until I reacted"
16691,There was one other witness a friend of mine riding behind on his bike. He got a quick look also.
75290,3 .sleeping
63078,"My son was in the car with me as well, but he was only 11 months old at the time."
59668,Just me
38933,Three horseback riders saw these tracks.
18298,As stated!
15540,Just myself ...
13549,
14323,none.
4637,"4 witnesses. One was sleeping, two were on the deck chatting and listening to nature, and I was laying in bed with my 4 month old daughter."
3029,Two witnesses sleeping
835,
8784,Me and my mother. I was sleeping and my mother was watching TV. She stepped to the kithchen window to smoke a cigarette and heard the noise. Just recently I am the only witness left.
2558,
69291,"Entire family. 2 grandparents, 2 parents, 2 young children."
2844,
2855,two I forgot about his hired hand. an old indian named Floyd and conrad himself inside the house.
2845,There were two witnesses counting myself. My friend was sleeping and was awakened by the noise that it made walking around the truck.
8184,"I was the only witness to the prints, while my brother and I are the ones that heard the screams.  Brother witnessed on shore noises the night of the screams."
2770,"Two witnesses, my wife and I. We were sitting by a dying campfire."
7555,Just me and my cousin were there. He lives in Kentucky so I never really talked to him after the incident.
7363,"Three people actually saw the red eyes, my husband, myself and my daughter.  Three others smelled the foul odor and saw the uprooted and knocked over small treets."
3027,I was with 2 others that witnessed this also. We went out there to be alone due to too many people around our house.
2858,
32654,"4, sitting in the Jeep talking One was a sleep she dident wake up until I started screaming."
27819,My two brothers were present for all of the activity but did not see the creature.
27609,There were two of us traveling in the vehicle.
26116,No
12405,"The two times I saw it I was alone, but through these past two years my ex-boyfriend was there when we would call back to it when it would whistle at night. He also witnessed many accounts of the stench and the sounds of footfalls. For a while the only explanation we could come up with was it must be rocks moving down the creek, although the house is really to far away to hear that it was the only explanation we could come up with at the time.OTHER WITNESSES from Report # 20720: No witnesses except for above and the one incident involving watching the cameras from the monitors inside my house. My friend, a ten year old girl said she saw a Bigfoot and a bear at the spring on the monitor. We looked back and saw the bear, and then the recording gets all funny and you do not see what she said was a Bigfoot."
21354,One other witness my 17 year old daughter.
6651,"No, unfortunately, there weren't any other witnesses."
5649,Just the three of us riding horses.
5220,Just my father and myself.
7637,Most of My family (two other people)
5284,None.
3056,Four separate witnesses on different occasions
4630,1
2928,"XXX, His Wife & Son"
1391,One - I was asleep
2861,Sleeping.
2862,"Husband, daughter, son, and myself."
22434,1- sleeping in the wilderness in a sleeping bag with no tent
22431,Two witnesses; sleeping prior to and during/after
8069,No other witnesses other than myself and the dog who slept through both incidents.
13424,"Just me, though I had no problem telling people I met in Happy Camp (a few friends and discussed it with a few folks at a cafe, and I think a sheriff's deputy)."
2842,
174,"I was the only observer of the ""thing"", however my ex-husband can verify my extreme fright and the weird smell."
1058,Two other witnesses. See story above.
12294,Kitty sure saw it.  My two boys didn't have a chance I grabbed them and ran.  They listen when I tell the story to their children but do not add to the story.
1792,
2896,"My brother Robert Bonine and I.  We had walked over to help..bring in the hay.  We throught that Dad was cutting the clearing, called willows. We didn't find him there and were returning to the house.  The two story house."
25260,"Alone, working."
8598,3 witnesses
6971,Just my girlfriend & I
2864,Getting ready for bed or sleeping.
25009,My freind Henry K.  We were just riding our bikes.
9202,"just myself, I could not belive the feeling of how lonely I felt at that time, with goosebumps all over."
23030,"Two, we didn't wake the kids. The other campers were also involved but I don't know how many there were. More than one for sure. I'm sure lots of the other campers heard it that night."
1114,"In the car with me was my son and my daughter.  We were all three wide awake, having drank some coffee to keep awake.  We had been on a jet returning from Florida visiting other family members.  WE got in our car in Sacramento and drove all the way home, another 3 hours.  We were kind of keyed up.  We were talking excitedly with one another, just enjoying being on the road home again.  David and Abby were in their late teens.  I am in my late forties. We were just in the car, sitting, I was driving, and we were all three talking with one another.  Both kids were very alert, kind of almost on the edge of their seats."
6706,Two filling canteens.
849,"I was with two other girls, but they didn't see it."
27327,There was 4 of us. My woke up from the backpack falling on the tent and my brother and our friend woke up from me yelling.
8729,"My wife and I, were asleep in a fifth wheel trailer, the rear windows were open where we were sleeping."
7231,Just the four other people that I was with.
7115,no
13419,
405,I brought my wife back to the area and we video taped the area and the footsteps and took pictures. Prior to the findings I was hunting.
533,"Myself, My husband and four dogs.  Our children were asleep."
596,No other witnesses.
2873,Starting to fall asleep.
2820,
2819,"Sitting around the fire, roasting mallows, getting ready for bed."
2490,There were five in our party.  We were all asleep prior to the sighting.  We all saw the tracks in the morning.
14642,
7773,One hunter was with me (J.K.) and heard the scream and examined the mule with me.  Eight others were in the party as a whole.
2581,"Two people, my former wife and my friend .We were riding to put up the horses."
2579,"Two people, my former wife and my friend .We were riding to put up the horses."
7352,No other witnesses. Sorry!
160,My best friend at the time was hiking with me. He heard and felt everything I did.
6962,Three of us heard the screems and two of us explored the area.
